player_id,player_name,team,position,matches_played,minutes_played,passes,shots,goals,assists,tackles,interceptions,yellow_cards,assists_per_match,goals_per_match,minutes_per_match,defensive_index,discipline_index,ball_possession_index,performance_score,injury_risk_score,market_value_millions,market_value_,estimated_resale_value,market_value_last_updated,contract_end_year,years_remaining_contract,twitter_mentions_count,twitter_engagement_rate,social_sentiment_score,social_engagement_score,public_perception_index,mention_volatility_score,trending_mentions_7d,sentiment_classification,total_injuries_history,days_injured_last_season,current_injury_status,injury_risk_assessment,avg_recovery_time_days,injury_prone_body_parts,historical_injury_count,days_since_last_injury
415,Erling Haaland 414,Manchester City,Defender,40,3480,2764,17,7,0,10,24,3,0,0.175,87,0.85,0.075,0.794252874,3.375,0.75,9.430928306, Falling,8.225871447,08-12-2025,2027,2,9786,1.50183499,87.6,60.28,76.67,85.18412369,4847,Very Positive,0,178,Out,0.75,89,Hamstring,9,265
69,Vinicius Jr 68,Paris Saint-Germain,Forward,40,3240,1965,6,4,1,36,23,1,0.025,0.1,81,1.475,0.025,0.606481481,4.05,0.25,9.848471398, Falling,10.53940224,08-12-2025,2025,0,46977,1.623081951,18.8,75.82,41.61,40.38978642,1217,Very Negative,8,211,Minor,0.25,8,Knee,11,145
387,Bukayo Saka 386,Manchester United,Defender,40,3360,4144,9,0,7,7,30,3,0.175,0,84,0.925,0.075,1.233333333,2.65,0.75,7.920377076, Falling,10.20708266,08-12-2025,2026,1,32107,3.356458196,6.31,38.51,19.19,7.761464473,4883,Very Negative,4,292,Minor,0.75,75,None,12,69
202,Robert Lewandowski 201,Liverpool,Midfielder,40,2440,2686,11,6,2,34,24,5,0.05,0.15,61,1.45,0.125,1.100819672,4.525,1.25,14.35855971,Rising,15.49415115,08-12-2025,2025,0,761,3.479547847,18.8,83.42,44.65,54.25343685,3967,Very Negative,1,233,Out,1.25,30,Shoulder,13,58
250,Gavi 249,Chelsea,Midfielder,40,3000,3043,8,7,5,7,16,3,0.125,0.175,75,0.575,0.075,1.014333333,3.45,0.75,8.156693251,→ Stable,6.981168145,08-12-2025,2027,2,44943,7.443804753,8.98,91.88,42.14,86.17424949,1369,Very Negative,7,238,Recovering,0.75,54,None,5,185
419,Jude Bellingham 418,Barcelona,Defender,40,3360,2740,19,1,1,49,6,5,0.025,0.025,84,1.375,0.125,0.81547619,3,1.25,7.031726086,↑ Rising,7.597100925,08-12-2025,2025,0,30237,4.384921585,67,47.15,59.06,59.0285543,2638,Positive,1,222,Healthy,1.25,16,Shoulder,1,62
446,Pedri 445,Barcelona,Midfielder,40,3240,3661,14,5,7,6,30,1,0.175,0.125,81,0.9,0.025,1.129938272,3.9,0.25,12.90842563,→ Stable,13.21811461,08-12-2025,2027,2,47656,6.176600031,12.13,64.25,32.98,22.62791082,1503,Very Negative,2,118,Out,0.25,85,Ankle,4,308
200,Vinícius Júnior 199,Real Madrid,Goalkeeper,40,2720,2723,14,2,2,50,28,0,0.05,0.05,68,1.95,0,1.001102941,4.65,0,13.15986946, Falling,15.36950678,08-12-2025,2027,2,42928,0.974753807,4.84,44.04,20.52,38.42396201,-57,Very Negative,9,312,Minor,0,79,Shoulder,5,296
17,Frenkie de Jong 16,Arsenal,Forward,40,3080,3857,2,9,0,27,8,2,0,0.225,77,0.875,0.05,1.252272727,3.95,0.5,8.936051228, Falling,6.828826541,08-12-2025,2025,0,48704,1.993685546,94.21,65.98,82.92,45.01233612,4722,Very Positive,0,263,Healthy,0.5,69,Shoulder,4,166
242,Manuel Neuer 241,Arsenal,Midfielder,40,3120,1988,9,6,2,25,27,5,0.05,0.15,78,1.3,0.125,0.637179487,4.225,1.25,11.64762009,↑ Rising,13.47183239,08-12-2025,2027,2,10626,6.004724904,93.78,69.95,84.25,57.92663538,1837,Very Positive,1,206,Out,1.25,51,Shoulder,11,171
167,Jude Bellingham 166,Barcelona,Defender,40,2600,3304,5,6,2,30,30,1,0.05,0.15,65,1.5,0.025,1.270769231,4.725,0.25,10.88566461,↑ Rising,11.1551931,08-12-2025,2026,1,3474,0.543553268,6.31,76.51,34.39,75.93510258,1660,Very Negative,6,94,Healthy,0.25,57,Hamstring,1,63
155,Rodri 154,Real Madrid,Defender,40,2880,4088,4,4,1,36,10,5,0.025,0.1,72,1.15,0.125,1.419444444,3.3,1.25,7.318540493,→ Stable,9.35159593,08-12-2025,2027,2,25692,4.187420363,97.16,100,98.3,9.887361764,1936,Very Positive,9,221,Healthy,1.25,75,Shoulder,13,147
306,Ilkay Gündogan 305,Manchester United,Midfielder,40,3280,3202,7,2,6,4,7,5,0.15,0.05,82,0.275,0.125,0.976219512,1.675,1.25,4.671424543,→ Stable,4.228215196,08-12-2025,2026,1,29082,5.134699312,71.08,55.44,64.82,88.9652033,3444,Very Positive,1,275,Out,1.25,6,Knee,6,306
289,Erling Haaland 288,Manchester City,Forward,40,3160,4142,15,7,3,37,16,2,0.075,0.175,79,1.325,0.05,1.310759494,4.725,0.5,7.985939511,↑ Rising,8.621405761,08-12-2025,2026,1,307,5.15802341,8.98,64.94,31.36,1.230970302,2947,Very Negative,5,230,Healthy,0.5,28,Knee,3,161
272,Vinícius Júnior 271,Real Madrid,Goalkeeper,40,3520,2599,1,2,3,46,14,3,0.075,0.05,88,1.5,0.075,0.738352273,3.8,0.75,6.050164335,→ Stable,7.618468956,08-12-2025,2027,2,35533,0.292635615,92.56,36.79,70.25,37.00523347,676,Very Positive,2,308,Recovering,0.75,8,None,7,141
84,João Félix 83,Bayern Munich,Goalkeeper,39,3237,3604,17,9,5,17,3,2,0.128205128,0.230769231,83,0.512820513,0.051282051,1.113376583,3.923076923,0.512820513,8.683117249,↑ Rising,6.612244467,08-12-2025,2025,0,23297,2.805707236,18.8,78.24,42.58,2.742030997,196,Very Negative,3,118,Out,0.512820513,23,Hamstring,6,334
213,Vinicius Jr 212,Paris Saint-Germain,Forward,39,2613,3579,5,1,7,17,25,5,0.179487179,0.025641026,67,1.076923077,0.128205128,1.369690011,3.179487179,1.282051282,5.923055708,→ Stable,7.47689292,08-12-2025,2026,1,33500,5.446521469,6.31,70.47,31.97,39.29742253,3105,Very Negative,7,267,Recovering,1.282051282,30,None,6,97
158,Pedri 157,Barcelona,Midfielder,39,3003,2517,15,8,7,1,24,3,0.179487179,0.205128205,77,0.641025641,0.076923077,0.838161838,4.153846154,0.769230769,11.01311005,↑ Rising,12.25463373,08-12-2025,2025,0,3183,1.351597784,85.11,85.84,85.4,52.58125989,1787,Very Positive,2,272,Minor,0.769230769,79,Knee,8,221
156,João Félix 155,Bayern Munich,Goalkeeper,39,2925,4105,16,6,3,2,20,5,0.076923077,0.153846154,75,0.564102564,0.128205128,1.403418803,2.923076923,1.282051282,5.491644157,↑ Rising,4.067673103,08-12-2025,2026,1,29428,5.941491446,93.78,73.92,85.84,51.16813866,461,Very Positive,9,63,Healthy,1.282051282,44,Knee,0,43
144,Ilkay Gündogan 143,Manchester United,Goalkeeper,39,2964,2570,18,5,2,13,27,2,0.051282051,0.128205128,76,1.025641026,0.051282051,0.867071525,3.538461538,0.512820513,6.021546443,↑ Rising,5.302442168,08-12-2025,2027,2,46579,6.365771754,97.7,46.8,77.34,16.5628347,2318,Very Positive,5,297,Minor,0.512820513,54,Ankle,9,292
441,Bukayo Saka 440,Manchester United,Forward,39,2496,3230,1,1,4,2,10,5,0.102564103,0.025641026,64,0.307692308,0.128205128,1.294070513,1.256410256,1.282051282,6.072323179,→ Stable,6.830776098,08-12-2025,2027,2,42991,8.3485412,15.68,59.76,33.31,64.57405101,-334,Very Negative,0,349,Minor,1.282051282,47,Shoulder,5,108
25,Toni Kroos 24,Chelsea,Forward,39,2535,3785,8,6,5,43,17,2,0.128205128,0.153846154,65,1.538461538,0.051282051,1.493096647,5.205128205,0.512820513,12.56126791,→ Stable,9.300492908,08-12-2025,2026,1,20203,1.862672757,18.8,57.69,34.36,4.47784505,4618,Very Negative,6,10,Healthy,0.512820513,79,Knee,5,266
447,Vinicius Jr 446,Paris Saint-Germain,Defender,39,2769,2601,18,7,0,5,27,4,0,0.179487179,71,0.820512821,0.102564103,0.939328277,3.333333333,1.025641026,8.468389743,→ Stable,8.885900632,08-12-2025,2027,2,39991,7.031097608,18.8,43.01,28.48,76.19068201,1176,Very Negative,7,97,Out,1.025641026,71,None,5,95
421,Toni Kroos 420,Chelsea,Forward,39,2535,2756,18,8,6,28,6,0,0.153846154,0.205128205,65,0.871794872,0,1.087179487,4.564102564,0,8.560760038,↑ Rising,7.769145138,08-12-2025,2026,1,10854,4.470491246,10.3,100,46.18,94.6644434,2743,Very Negative,7,70,Healthy,0,16,None,12,262
22,Robert Lewandowski 21,Liverpool,Midfielder,39,2847,2090,16,9,3,2,23,1,0.076923077,0.230769231,73,0.641025641,0.025641026,0.734106077,3.948717949,0.256410256,8.783029423,→ Stable,9.420232153,08-12-2025,2027,2,34547,3.237085808,97.72,34.02,72.24,33.97688272,-400,Very Positive,2,363,Minor,0.256410256,71,Shoulder,11,313
433,Erling Haaland 432,Manchester City,Forward,39,3510,2568,2,3,5,7,24,0,0.128205128,0.076923077,90,0.794871795,0,0.731623932,3,0,7.721845179,→ Stable,5.617219368,08-12-2025,2025,0,16001,1.127964762,77.33,82.73,79.49,51.72393817,1652,Very Positive,9,57,Minor,0,31,Shoulder,5,71
353,Rodri 352,Real Madrid,Forward,38,2546,2877,2,3,3,8,4,3,0.078947368,0.078947368,67,0.315789474,0.078947368,1.130007855,1.736842105,0.789473684,2.040118108,↑ Rising,2.494905488,08-12-2025,2027,2,33104,6.278247094,8.98,56.3,27.91,37.89102781,3422,Very Negative,0,289,Out,0.789473684,58,Ankle,11,219
347,Jude Bellingham 346,Barcelona,Defender,38,3382,3306,8,2,7,35,10,0,0.184210526,0.052631579,89,1.184210526,0,0.97752809,3.815789474,0,10.29086972, Falling,13.2144377,08-12-2025,2025,0,7546,2.081203833,6.62,73.58,33.4,0.67103903,2824,Very Negative,8,250,Healthy,0,70,Hamstring,9,21
358,Gavi 357,Chelsea,Midfielder,38,2888,4012,10,8,4,18,12,3,0.105263158,0.210526316,76,0.789473684,0.078947368,1.389196676,4.131578947,0.789473684,9.127669989,↑ Rising,11.69552739,08-12-2025,2027,2,37311,3.219944816,67,53.2,61.48,38.58745029,2906,Positive,5,275,Minor,0.789473684,53,None,6,92
374,Pedri 373,Barcelona,Midfielder,38,2774,1896,12,6,6,48,22,3,0.157894737,0.157894737,73,1.842105263,0.078947368,0.683489546,5.973684211,0.789473684,14.35082303,→ Stable,16.50044858,08-12-2025,2025,0,48331,0.625354706,94.53,74.61,86.56,79.17202593,-21,Very Positive,8,49,Recovering,0.789473684,20,Shoulder,13,127
97,Toni Kroos 96,Chelsea,Forward,38,2394,3375,12,0,7,18,9,1,0.184210526,0,63,0.710526316,0.026315789,1.409774436,2.315789474,0.263157895,4.58606046,↑ Rising,3.568192339,08-12-2025,2027,2,29401,6.831482093,78.02,40.59,63.05,59.59888422,1451,Very Positive,6,357,Minor,0.263157895,6,None,9,80
386,Manuel Neuer 385,Arsenal,Midfielder,38,3230,3858,15,10,0,16,13,3,0,0.263157895,85,0.763157895,0.078947368,1.194427245,4.078947368,0.789473684,13.90192479, Falling,16.05613811,08-12-2025,2025,0,26216,6.539343601,97.06,69.6,86.08,10.12599146,-372,Very Positive,0,215,Minor,0.789473684,64,Shoulder,5,312
48,João Félix 47,Bayern Munich,Goalkeeper,38,2850,4249,10,7,0,42,26,1,0,0.184210526,75,1.789473684,0.026315789,1.490877193,5.394736842,0.263157895,13.45984766,↑ Rising,9.620455049,08-12-2025,2026,1,41423,6.262372972,96.29,67.01,84.58,84.71394897,629,Very Positive,0,51,Out,0.263157895,58,Knee,0,238
439,Toni Kroos 438,Chelsea,Defender,38,3078,4525,0,6,0,24,30,0,0,0.157894737,81,1.421052632,0,1.470110461,4.421052632,0,8.937209721,→ Stable,6.374680497,08-12-2025,2026,1,18852,2.615325488,4.84,39.72,18.79,53.10853449,2696,Very Negative,5,270,Recovering,0,34,None,2,182
10,Phil Foden 9,Manchester City,Midfielder,38,2812,2437,1,1,2,36,15,4,0.052631579,0.026315789,74,1.342105263,0.105263158,0.866642959,3.105263158,1.052631579,9.408247719, Falling,8.412536467,08-12-2025,2025,0,32476,1.557232624,90.7,53.37,75.77,84.17233617,2430,Very Positive,4,83,Minor,1.052631579,88,Knee,1,25
139,Kylian Mbappé 138,Liverpool,Defender,38,2850,2149,1,6,4,0,23,0,0.105263158,0.157894737,75,0.605263158,0,0.754035088,3.315789474,0,5.847786384,→ Stable,5.807939066,08-12-2025,2027,2,16769,5.455447422,35.7,49.05,41.04,58.02215188,2674,Negative,8,292,Minor,0,42,None,5,156
142,Gavi 141,Chelsea,Midfielder,38,2850,1862,10,1,8,19,7,1,0.210526316,0.026315789,75,0.684210526,0.026315789,0.653333333,2.657894737,0.263157895,7.062464032, Falling,8.208309629,08-12-2025,2025,0,33016,4.267797627,6.62,47.67,23.04,55.96884448,2929,Very Negative,1,125,Recovering,0.263157895,32,Hamstring,7,5
297,Bukayo Saka 296,Manchester United,Forward,38,2964,3650,13,7,1,35,15,5,0.026315789,0.184210526,78,1.315789474,0.131578947,1.231443995,4.473684211,1.315789474,7.264870279, Falling,8.063840559,08-12-2025,2027,2,13495,1.597320722,91.62,43.35,72.31,10.52591852,1765,Very Positive,7,295,Healthy,1.315789474,29,Ankle,2,120
